,mjd,mag,magerr
0,51075.354022,17.117,0.005
1,51075.354855,15.835,0.004
2,51075.355689,20.948,0.09
3,51075.356522,15.161,0.005
4,51075.357355,18.505,0.007
5,52196.373257,17.122,0.005
6,52196.374090,15.858,0.004
7,52196.374924,20.997,0.11
8,52196.375757,15.183,0.005
9,52196.376590,18.542,0.008
10,52197.367617,17.128,0.005
11,52197.368450,15.865,0.004
12,52197.369284,-99.0,0.1
13,52197.370117,15.165,0.005
14,52197.370950,18.534,0.008
15,52207.340023,17.124,0.005
16,52207.340856,15.854,0.005
17,52207.341690,21.254,0.119
18,52207.342523,15.168,0.006
19,52207.343356,18.535,0.008
20,52225.217820,17.123,0.005
21,52225.218653,15.852,0.004
22,52225.219487,21.006,0.087
23,52225.220320,15.19,0.005
24,52225.221153,18.533,0.008
25,52231.253602,17.121,0.005
26,52231.254435,15.847,0.004
27,52231.255269,20.997,0.09
28,52231.256102,15.175,0.006
29,52231.256935,18.408,0.008
30,52234.224692,17.119,0.005
31,52234.225525,15.842,0.004
32,52234.226359,20.936,0.103
33,52234.227192,15.179,0.005
34,52234.228025,18.535,0.008
35,52557.361601,17.125,0.005
36,52557.362434,15.853,0.004
37,52557.363268,20.821,0.097
38,52557.364101,15.185,0.005
39,52557.364934,18.548,0.008
40,52578.257689,17.13,0.005
41,52578.258522,15.86,0.004
42,52578.259356,20.981,0.079
43,52578.260189,15.185,0.005
44,52578.261022,18.542,0.007
45,52908.336169,17.129,0.007
46,52908.337002,15.869,0.006
47,52908.337836,20.975,0.094
48,52908.338669,15.171,0.007
49,52908.339502,18.555,0.01
50,52934.268073,17.119,0.005
51,52934.268906,15.855,0.004
52,52934.269740,21.076,0.112
53,52934.270573,15.156,0.005
54,52934.271406,18.549,0.008
55,52936.263998,17.112,0.005
56,52936.264831,15.852,0.004
57,52936.265665,21.112,0.1
58,52936.266498,15.196,0.005
59,52936.267331,18.546,0.008
60,53270.328059,17.121,0.013
61,53270.328893,15.883,0.021
62,53270.329726,-99.0,0.118
63,53270.330559,15.195,0.017
64,53270.331393,18.534,0.017
65,53272.378000,17.118,0.005
66,53272.378833,15.863,0.004
67,53272.379667,21.03,0.104
68,53272.380500,15.175,0.005
69,53272.381333,18.568,0.008
70,53286.346719,17.121,0.005
71,53286.347552,15.862,0.004
72,53286.348386,21.022,0.119
73,53286.349219,15.182,0.005
74,53286.350052,18.565,0.008
75,53288.305211,17.111,0.005
76,53288.306044,15.868,0.004
77,53288.306878,20.867,0.09
78,53288.307711,15.171,0.005
79,53288.308544,18.566,0.008
80,53294.352885,17.125,0.005
81,53294.353718,15.863,0.004
82,53294.354552,20.802,0.094
83,53294.355385,15.207,0.005
84,53294.356218,18.558,0.008
85,53296.300125,17.102,0.014
86,53296.300958,15.858,0.016
87,53296.301791,20.85,0.122
88,53296.302625,15.18,0.015
89,53296.303458,18.536,0.041
90,53298.349661,17.121,0.006
91,53298.350494,15.854,0.004
92,53298.351328,21.406,0.165
93,53298.352161,15.194,0.006
94,53298.352994,18.535,0.008
95,53302.300878,17.133,0.006
96,53302.301711,15.862,0.004
97,53302.302545,20.735,0.197
98,53302.303378,15.182,0.005
99,53302.304211,18.516,0.013
100,53312.256521,17.093,0.014
101,53312.257355,15.835,0.025
102,53312.258188,-99.0,0.141
103,53312.259021,15.165,0.031
104,53312.259855,18.54,0.023
105,53314.257609,17.111,0.005
106,53314.258442,15.851,0.004
107,53314.259276,21.034,0.11
108,53314.260109,15.177,0.005
109,53314.260942,18.529,0.008
110,53319.245405,17.108,0.005
111,53319.246238,15.86,0.004
112,53319.247072,20.92,0.119
113,53319.247905,15.167,0.005
114,53319.248738,18.545,0.008
115,53616.361969,17.108,0.006
116,53616.362802,15.859,0.006
117,53616.363636,20.71,0.118
118,53616.364469,15.174,0.006
119,53616.365302,18.541,0.009
120,53626.338394,17.115,0.005
121,53626.339227,15.85,0.004
122,53626.340061,20.952,0.094
123,53626.340894,15.185,0.005
124,53626.341727,18.549,0.008
125,53628.323259,17.126,0.005
126,53628.324092,15.834,0.004
127,53628.324926,21.119,0.286
128,53628.325759,15.176,0.005
129,53628.326592,18.557,0.013
130,53637.324876,17.127,0.005
131,53637.325709,15.88,0.004
132,53637.326543,20.836,0.171
133,53637.327376,15.196,0.005
134,53637.328209,18.532,0.01
135,53639.370254,17.123,0.005
136,53639.371087,15.856,0.004
137,53639.371921,21.093,0.125
138,53639.372754,15.186,0.005
139,53639.373587,18.552,0.008
140,53641.369419,17.107,0.005
141,53641.370252,15.845,0.004
142,53641.371086,21.088,0.108
143,53641.371919,15.176,0.005
144,53641.372752,18.564,0.008
145,53654.351945,17.123,0.005
146,53654.352778,15.87,0.004
147,53654.353612,21.137,0.123
148,53654.354445,15.209,0.005
149,53654.355278,18.565,0.008
150,53663.312849,17.125,0.006
151,53663.313682,15.86,0.005
152,53663.314516,21.387,0.25
153,53663.315349,15.187,0.005
154,53663.316182,-99.0,0.011
155,53665.290821,-99.0,0.008
156,53665.291654,-99.0,0.005
157,53665.292488,20.983,0.356
158,53665.293321,-99.0,0.013
159,53665.294154,-99.0,0.063
160,53666.382945,17.131,0.005
161,53666.383778,15.86,0.004
162,53666.384612,21.176,0.216
163,53666.385445,15.2,0.005
164,53666.386278,18.535,0.01
165,53668.302451,17.13,0.005
166,53668.303284,15.875,0.004
167,53668.304118,21.028,0.145
168,53668.304951,15.175,0.005
169,53668.305784,18.574,0.009
170,53670.307303,17.13,0.005
171,53670.308136,15.876,0.004
172,53670.308970,20.887,0.114
173,53670.309803,15.183,0.005
174,53670.310636,18.533,0.008
175,53673.275288,17.112,0.005
176,53673.276121,15.875,0.004
177,53673.276955,21.162,0.111
178,53673.277788,15.189,0.005
179,53673.278621,18.553,0.008
180,53675.272177,17.135,0.005
181,53675.273010,15.87,0.004
182,53675.273844,21.037,0.125
183,53675.274677,15.205,0.005
184,53675.275510,18.541,0.008
185,53677.293206,17.126,0.005
186,53677.294039,15.865,0.004
187,53677.294873,-99.0,0.101
188,53677.295706,15.182,0.005
189,53677.296539,18.545,0.008
190,53680.279874,17.123,0.008
191,53680.280707,15.86,0.007
192,53680.281541,20.925,0.096
193,53680.282374,15.181,0.008
194,53680.283207,18.552,0.01
195,53686.279296,-99.0,0.006
196,53686.280129,15.87,0.004
197,53686.280963,-99.0,0.234
198,53686.281796,-99.0,0.005
199,53686.282629,18.528,0.016
200,53693.281767,17.13,0.009
201,53693.282600,15.868,0.007
202,53693.283434,20.574,0.157
203,53693.284267,15.181,0.009
204,53693.285100,18.549,0.015
205,53698.279157,17.131,0.008
206,53698.279990,15.852,0.007
207,53698.280824,21.429,0.174
208,53698.281657,15.181,0.009
209,53698.282490,18.536,0.011
210,53704.265090,17.107,0.005
211,53704.265923,15.867,0.004
212,53704.266757,21.031,0.118
213,53704.267590,15.186,0.005
214,53704.268423,18.541,0.008
215,53989.361171,17.142,0.017
216,53989.362004,15.865,0.014
217,53989.362837,21.345,0.311
218,53989.363671,15.192,0.02
219,53989.364504,18.557,0.022
220,53995.375785,17.126,0.015
221,53995.376618,15.841,0.013
222,53995.377451,21.027,0.081
223,53995.378285,15.189,0.013
224,53995.379118,18.573,0.013
225,54000.336626,17.133,0.02
226,54000.337459,15.88,0.015
227,54000.338292,21.063,0.127
228,54000.339126,15.191,0.019
229,54000.339959,18.554,0.023
230,54006.283359,17.126,0.009
231,54006.284192,-99.0,0.012
232,54006.285026,20.86,0.081
233,54006.285859,-99.0,0.016
234,54006.286692,18.514,0.018
235,54007.386958,17.123,0.02
236,54007.387792,15.838,0.012
237,54007.388625,21.11,0.137
238,54007.389458,-99.0,0.029
239,54007.390292,18.538,0.022
240,54009.310542,17.121,0.016
241,54009.311375,15.866,0.014
242,54009.312208,20.929,0.09
243,54009.313042,15.168,0.018
244,54009.313875,18.521,0.017
245,54011.374968,17.129,0.011
246,54011.375801,15.812,0.015
247,54011.376634,21.068,0.086
248,54011.377468,15.164,0.016
249,54011.378301,18.536,0.025
250,54025.373975,17.116,0.032
251,54025.374808,15.836,0.019
252,54025.375642,20.682,0.126
253,54025.376475,15.182,0.015
254,54025.377308,18.501,0.017
255,54029.304431,17.116,0.025
256,54029.305264,15.858,0.011
257,54029.306098,20.877,0.094
258,54029.306931,15.16,0.028
259,54029.307764,18.515,0.01
260,54348.371973,17.106,0.017
261,54348.372806,15.836,0.015
262,54348.373639,-99.0,0.125
263,54348.374473,15.191,0.02
264,54348.375306,18.53,0.024
265,54358.327548,17.124,0.014
266,54358.328381,15.823,0.015
267,54358.329215,-99.0,0.118
268,54358.330048,15.165,0.016
269,54358.330881,18.527,0.021
270,54359.321581,17.1,0.019
271,54359.322414,15.867,0.013
272,54359.323248,20.885,0.227
273,54359.324081,15.181,0.022
274,54359.324914,18.55,0.016
275,54365.360679,17.135,0.012
276,54365.361512,15.861,0.013
277,54365.362346,20.947,0.083
278,54365.363179,15.185,0.02
279,54365.364012,18.533,0.015
280,54381.380238,17.147,0.011
281,54381.381071,15.866,0.013
282,54381.381904,21.006,0.102
283,54381.382738,15.171,0.016
284,54381.383571,18.527,0.02
285,54384.386910,17.124,0.01
286,54384.387744,15.871,0.013
287,54384.388577,21.106,0.113
288,54384.389410,15.205,0.015
289,54384.390244,18.528,0.028
290,54386.372714,17.132,0.015
291,54386.373548,15.869,0.011
292,54386.374381,-99.0,0.212
293,54386.375214,15.184,0.014
294,54386.376048,18.521,0.023
295,54388.376790,17.138,0.014
296,54388.377624,15.857,0.013
297,54388.378457,21.144,0.132
298,54388.379290,15.177,0.024
299,54388.380124,18.508,0.021
300,54392.374363,17.111,0.022
301,54392.375196,15.855,0.017
302,54392.376030,20.907,0.127
303,54392.376863,15.146,0.014
304,54392.377696,18.513,0.03
305,54403.290667,17.125,0.016
306,54403.291500,15.873,0.018
307,54403.292334,20.984,0.166
308,54403.293167,15.172,0.016
309,54403.294000,18.512,0.032
310,54404.348089,17.093,0.013
311,54404.348922,15.845,0.019
312,54404.349755,-99.0,0.583
313,54404.350589,15.188,0.015
314,54404.351422,18.552,0.014
315,54405.346074,17.118,0.01
316,54405.346907,15.859,0.01
317,54405.347740,21.243,0.174
318,54405.348574,15.183,0.017
319,54405.349407,18.516,0.01
320,54406.284467,17.114,0.015
321,54406.285301,15.84,0.012
322,54406.286134,21.136,0.091
323,54406.286967,15.158,0.017
324,54406.287801,18.525,0.019
325,54412.310209,17.971,0.046
326,54412.311042,16.469,0.034
327,54412.311876,23.197,1.49
328,54412.312709,15.864,0.037
329,54412.313542,19.69,0.075
